1900	1	Arthur Collins 	I�d Leave My Happy Home for You
1900	2	Arthur Collins 	Mandy Lee
1900	3	Steve Porter 	A Bird in a Gilded Cage
1900	4	George J. Gaskin 	When Chloe Sings a Song
1900	5	Jere Mahoney 	A Bird in a Gilded Cage
1900	6	Jere Mahoney 	When You Were Sweet Sixteen
1900	7	Bryon G. Harlan 	The Blue and the Gray (The Mother�s Gift to Her Country)
1900	8	Len Spencer 	Ma Tiger Lily
1900	9	Dan Quinn 	Strike Up the Band, Here Comes a Sailor
1900	10	Arthur Collins 	Ma Tiger Lily
1900	11	Joseph Natus 	The Fatal Rose of Red
1900	12	Haydn Quartet 	Because
1900	13	Harry MacDonough 	I Can�t Tell You Why I Love You But I Do
1900	14	George J. Gaskin 	When You Were Sweet Sixteen
1900	15	Jere Mahoney 	For Old Times� Sake
1901	1	Albert Campbell 	Ma Blushin� Rosie
1901	2	Arthur Collins & Joe Natus 	Coon! Coon! Coon!
1901	3	John Philip Sousa 	The Stars and Stripes Forever
1901	4	Big Four Quartet 	Goodbye Dolly Gray
1901	5	S.H. Dudley 	When Reuben Comes to Town
1901	6	Harry MacDonough with Grace Spencer 	Tell Me, Pretty Maiden
1901	7	Bryon G. Harlan with Frank Stanley, Joe Belmont, & the Florodora Girls 	Tell Me, Pretty Maiden
1901	8	Bryon G. Harlan 	Hello Central, Give Me Heaven
1901	9	Cal Stewart 	Jim Lawson�s Horse Trade with Deacon Witherspoon
1901	10	S.H. Dudley & Harry MacDonough 	Sweet Annie Moore
1901	11	J.W. Myers 	In the Shade of the Palm
1901	12	Cal Stewart 	Uncle Josh's Huskin' Bee Dance
1901	13	Bert Williams & George Walker 	Good Morning, Carrie
1901	14	Harry MacDonough 	The Tale of a Bumblebee
1901	15	Dan Quinn 	Good Evening, Carrie
1901	16	Harry MacDonough 	Absence Makes the Heart Grow Fonder
1901	17	Harry MacDonough 	I�ll Be with You When the Roses Bloom Again
1901	18	Will Denny 	Any Old Place I Can Hang My Hat Is Home Sweet Home to Me
1902	1	Sousa�s Band 	Creole Belles
1902	2	Metropolitan Orchestra 	Creole Bells
1902	3	Len Spencer 	The Arkansaw Traveler
1902	4	J.W. Myers 	Way Down Yonder in the Cornfield (Alabama)
1902	5	J. Aldrich Libbey 	On a Sunday Afternoon
1902	6	J.W. Myers 	On a Sunday Afternoon
1902	7	J.W. Myers 	Way Down in Old Indiana
1902	8	Dan Quinn 	Rip Van Winkle Was a Lucky Man
1902	9	Arthur Collins 	Bill Bailey, Won�t You Please Come Home
1902	10	Arthur Collins 	Please Go �Way and Let Me Sleep
1902	11	Dan Quinn 	Bill Bailey, Won�t You Please Come Home
1902	12	Harry MacDonough 	In the Good Old Summertime
1902	13	Bryon G. Harlan 	The Mansion of Aching Hearts
1902	14	Harry MacDonough 	The Mansion of Aching Hearts
1902	15	J.W. Myers 	In the Good Old Summertime
