	artist	song
0	Arthur Collins 	I�d Leave My Happy Home for You
1	Arthur Collins 	Mandy Lee
2	Steve Porter 	A Bird in a Gilded Cage
3	George J. Gaskin 	When Chloe Sings a Song
4	Jere Mahoney 	A Bird in a Gilded Cage
5	Jere Mahoney 	When You Were Sweet Sixteen
6	Bryon G. Harlan 	The Blue and the Gray (The Mother�s Gift to Her Country)
7	Len Spencer 	Ma Tiger Lily
8	Dan Quinn 	Strike Up the Band, Here Comes a Sailor
9	Arthur Collins 	Ma Tiger Lily
10	Joseph Natus 	The Fatal Rose of Red
11	Haydn Quartet 	Because
12	Harry MacDonough 	I Can�t Tell You Why I Love You But I Do
13	George J. Gaskin 	When You Were Sweet Sixteen
14	Jere Mahoney 	For Old Times� Sake
15	Albert Campbell 	Ma Blushin� Rosie
16	Arthur Collins & Joe Natus 	Coon! Coon! Coon!
17	John Philip Sousa 	The Stars and Stripes Forever
18	Big Four Quartet 	Goodbye Dolly Gray
19	S.H. Dudley 	When Reuben Comes to Town
20	Harry MacDonough with Grace Spencer 	Tell Me, Pretty Maiden
21	Bryon G. Harlan with Frank Stanley, Joe Belmont, & the Florodora Girls 	Tell Me, Pretty Maiden
22	Bryon G. Harlan 	Hello Central, Give Me Heaven
23	Cal Stewart 	Jim Lawson�s Horse Trade with Deacon Witherspoon
24	S.H. Dudley & Harry MacDonough 	Sweet Annie Moore
25	J.W. Myers 	In the Shade of the Palm
26	Cal Stewart 	Uncle Josh's Huskin' Bee Dance
27	Bert Williams & George Walker 	Good Morning, Carrie
28	Harry MacDonough 	The Tale of a Bumblebee
29	Dan Quinn 	Good Evening, Carrie
30	Harry MacDonough 	Absence Makes the Heart Grow Fonder
31	Harry MacDonough 	I�ll Be with You When the Roses Bloom Again
32	Will Denny 	Any Old Place I Can Hang My Hat Is Home Sweet Home to Me
33	Sousa�s Band 	Creole Belles
34	Metropolitan Orchestra 	Creole Bells
35	Len Spencer 	The Arkansaw Traveler
36	J.W. Myers 	Way Down Yonder in the Cornfield (Alabama)
37	J. Aldrich Libbey 	On a Sunday Afternoon
38	J.W. Myers 	On a Sunday Afternoon
39	J.W. Myers 	Way Down in Old Indiana
40	Dan Quinn 	Rip Van Winkle Was a Lucky Man
41	Arthur Collins 	Bill Bailey, Won�t You Please Come Home
42	Arthur Collins 	Please Go �Way and Let Me Sleep
43	Dan Quinn 	Bill Bailey, Won�t You Please Come Home
44	Harry MacDonough 	In the Good Old Summertime
45	Bryon G. Harlan 	The Mansion of Aching Hearts
46	Harry MacDonough 	The Mansion of Aching Hearts
47	J.W. Myers 	In the Good Old Summertime
48	Dan Quinn 	Mr. Dooley
49	Arthur Collins 	Under the Bamboo Tree
50	Arthur Collins & Bryon G. Harlan 	Down Where the Wurzburger Flows
51	Mina Hickman 	Come Down Ma Evening Star
52	Haydn Quartet 	In the Good Old Summertime
53	Harry MacDonough 	Hiawatha (His Song to Minnehaha)
54	John Philip Sousa�s Band with Harry MacDonough & S.H. Dudley 	In the Good Old Summertime
55	Harry MacDonough with John Bieling 	In the Sweet Bye and Bye
56	Henry Burr 	Come Down Ma Evening Star
57	Cal Stewart 	Uncle Josh on an Automobile
58	Mina Hickman 	Congo Love Song
59	Arthur Collins & Bryon G. Harlan 	Hurrah for Baffin�s Bay
60	Bryon G. Harlan 	Always in the Way
61	Arthur Collins 	Goodbye Eliza Jane
62	Billy Murray 	Bedelia
63	Arthur Collins 	Any Rags?
64	Haydn Quartet 	Bedelia
65	Billy Murray 	Navajo
66	Richard Jose 	Silver Threads Among the Gold
67	Bryon G. Harlan & Frank Stanley 	Blue Bell
68	Haydn Quartet with Harry MacDonough 	Blue Bell
69	Corinne Morgan with Haydn Quartet 	Toyland
70	Billy Murray 	Meet Me in St. Louis, Louis
71	Billy Murray 	Come Take a Trip in My Airship
72	Bryon G. Harlan 	All Aboard for Dreamland
73	Billy Murray 	Alexander (Don't You Love Your Baby No More?)
74	Haydn Quartet 	Sweet Adeline (You�re the Flower of My Heart)
75	Mina Hickman 	Goodbye Little Girl, Goodbye
76	Billy Murray 	Teasing (I Was Only Teasing You)
77	Bob Roberts 	I May Be Crazy, But I Ain't No Fool
78	Columbia Male Quartet 	Sweet Adeline (You�re the Flower of My Heart)
79	Bob Roberts 	Back Back Back to Baltimore
80	 Billy Murray �Yankee Doodle Boy� (aka 	I�m a Yankee Doodle Dandy
81	Henry Burr (as Irving Gillette) 	In the Shade of the Old Apple Tree
82	Arthur Collins 	The Preacher and the Bear
83	Billy Murray 	Give My Regards to Broadway
84	Ada Jones 	Keep a Little Cosey Corner in Your Heart for Me
85	Corinne Morgan with Haydn Quartet 	Dearie
86	Arthur Collins 	My Irish Molly-O
87	Bryon G. Harlan 	Would You Care?
88	Billy Murray 	In My Merry Oldsmobile
89	Bryon G. Harlan 	Wait Till the Sun Shines, Nellie
90	Bryon G. Harlan 	Where the Morning Glories Twine Around the Door
91	Billy Murray 	Everybody Works But Father
92	Corinne Morgan with the Haydn Quartet 	How'd You Like to Spoon with Me?
94	Harry Tally 	Wait Till the Sun Shines, Nellie
95	Harry MacDonough 	Dearie
96	Haydn Quartet with Harry MacDonough 	Will You Love Me in December As You Do in May?
97	Corinne Morgan 	So Long Mary
98	Billy Murray �You�re a Grand Old Flag (aka 	The Grand Old Rag
99	Ada Jones 	Waiting at the Church (My Wife Won't Let Me)
100	Bert Williams 	Nobody
101	Billy Murray & the Haydn Quartet 	Waltz Me Around Again, Willie
102	Bryon G. Harlan 	The Good Old U.S.A.
103	Albert Campbell 	Love Me and the World Is Mine
104	Henry Burr 	Love Me and the World Is Mine
105	Bryon G. Harlan 	Won't You Come Over to My House?
106	Bert Williams 	Let It Alone
107	Arthur Collins & Byron G. Harlan 	Arrah Wanna
108	Albert Collins & Bryon G. Harlan 	Camp Meetin� Time
109	Bert Williams 	He�s a Cousin of Mine
110	Billy Murray with the Haydn Quartet 	Arrah Wanna
111	Bryon G. Harlan 	My Gal Sal
112	Helen Trix 	The Bird on Nellie�s Hat
113	Vesta Victoria 	Poor John!
114	Ada Jones 	I Just Can't Make My Eyes Behave
115	Ada Jones 	Poor John!
116	Billy Murray 	San Antonio (Cowboy Song)
117	Harry MacDonough with Elise Stevenson 	Because You�re You
118	Bryon G. Harlan 	School Days (When We Were a Couple of Kids)
120	Bryon G. Harlan 	Nobody�s Little Girl
121	Enrico Caruso 	Pagliacci, Act I: Vesti La Giubba (On with the Play) (new version)
122	Billy Murray 	Harrigan
123	Ada Jones & Billy Murray 	Let's Take an Old-Fashioned Walk
124	Harry MacDonough 	My Dear
125	Bryon G. Harlan 	Two Blue Eyes (Two Little Baby Shoes)
126	Billy Murray 	The Best I Get Is Much Obliged to You
127	Billy Murray 	Under Any Old Flag at All
128	Elise Stevenson & Harry MacDonough 	I Love You So (Merry Widow Waltz)
129	Victor Orchestra 	I Love You So (Merry Widow Waltz)
130	Alan Turner 	As Long As the World Rolls On
131	Billy Murray 	I'm Afraid to Come Home in the Dark
132	Ada Jones & Billy Murray 	Wouldn't You Like to Have Me for a Sweetheart?
133	Victor Orchestra 	The Glow-Worm
134	Lucy Isabell Marsh 	The Glow-Worm
135	Elise Stevenson 	Are You Sincere?
136	Ada Jones & Billy Murray 	When We Are M-A-R-R-I-E-D
137	Billy Murray with the Haydn Quartet 	Take Me Out to the Ball Game
138	Harvey Hindermeyer 	Take Me Out to the Ball Game
139	Arthur Collins & Byron G. Harlan 	Down in Jungle Town
140	Ada Jones & Billy Murray 	Cuddle Up a Little Closer, Lovey Mine
141	Haydn Quartet with Harry MacDonough 	Sunbonnet Sue
142	Frank Stanley & Elise Stevenson 	Good Evening, Caroline
143	Eddie Morton 	The Right Church But the Wrong Pew
144	Arthur Collns & Bryon G. Harlan 	The Right Church But the Wrong Pew
145	Arthur Collins & Bryon G. Harlan 	The Right Church But the Wrong Pew
146	Harry MacDonough & Miss Walton 	Shine on, Harvest Moon
147	Arthur Collins & Byron G. Harlan 	Yip-I-Addy-I-Ay!
148	Ada Jones & Billy Murray 	Shine on, Harvest Moon
149	Blanche Ring 	Yip-I-Addy-I-Ay!
150	Henry Burr 	To the End of the World with You
151	Ada Jones 	My Pony Boy
152	Ada Jones & the Victor Light Opera 	The Yama Yama Man
153	Henry Burr 	I Wonder Who�s Kissing Her Now
154	Blanche Ring 	I've Got Rings on My Fingers
155	Ada Jones 	I've Got Rings on My Fingers
156	Billy Murray with the Haydn Quartet 	By the Light of the Silvery Moon
157	Haydn Quartet 	Put on Your Old Grey Bonnet
158	Byron G. Harlan 	Put on Your Old Grey Bonnet
159	Ada Jones 	Has Anybody Here Seen Kelly?
160	Elizabeth Wheeler & Harry Anthony 	Meet Me Tonight in Dreamland
161	Ada Jones 	Any Little Girl That's a Nice Little Girl Is the Right Little Girl for Me
162	Sophie Tucker 	Some of These Days
163	Bert Williams 	Play That Barber-Shop Chord
164	Harry MacDonough & Lucy Isabelle Marsh 	Every Little Movement Has a Meaning All Its Own
165	Arthur Clough 	Let Me Call You Sweetheart
166	Ada Jones & Billy Murray with the American Quartet 	Come Josephine in My Flying Machine
167	Arthur Collins & Byron G. Harlan 	Put Your Arms Around Me Honey (I Never Knew Any Girl Like You)
168	Arthur Clough & the Brunswick Quartet 	Down by the Old Mill Stream
169	Arthur Collins & Bryon G. Harlan 	Alexander�s Ragtime Band
170	Billy Murray & the American Quartet 	Oh, You Beautiful Doll
171	Arthur Collins & Byron G. Harlan 	Everybody�s Doing It Now
172	American Quartet 	Moonlight Bay
173	Heidelberg Quintet 	Waiting for the Robert E. Lee
174	Henry Burr 	That�s How I Need You
175	American Quartet 	On the Mississippi
176	Ada Jones 	Row Row Row!
177	Arthur Collins & Byron G. Harlan 	When the Midnight Choo Choo Leaves for Alabam�
178	Henry Burr 	When I Lost You
179	Henry Burr & Albert Campbell 	The Trail of the Lonesome Pine
180	Al Jolson 	You Made Me Love You (I Didn't Want to Do It)
181	Henry Burr 	Peg O� My Heart
182	Harry MacDonough 	There�s a Girl in the Heart of Maryland (With a Heart That Belongs to Me)
183	Billy Murray 	He�d Have to Get Under, Get Out and Get Under, to Fix Up His Automobile
184	American Quartet 	Rebecca of Sunnybrook Farm
185	Peerless Quartet 	This is the Life
186	Arthur Collins & Byron G. Harlan 	I Love the Ladies
187	Heidelberg Quintet 	By the Beautiful Sea
188	Arthur Collins & Byron G. Harlan 	The Aba Daba Honeymoon
189	Prince�s Orchestra 	Ballin� the Jack
190	Henry Burr 	When You�re a Long, Long Way from Home
191	Morton Harvey 	I Want to Go Back to Michigan (Down on the Farm)
192	John McCormack 	It�s a Long, Long Way to Tipperary
193	Peerless Quartet 	I Didn�t Raise My Boy to Be a Soldier
194	George MacFarlane 	A Little Bit of Heaven (Shure, They Call It Ireland)
195	Peerless Quartet 	I�m on My Way to Dublin Bay
196	James F. Harrison & James Reed 	My Little Dream Girl
197	Henry Burr 	When I Leave the World Behind
198	Olive Kline (as Alice Green) with Edward Hamilton 	Hello Frisco!
199	Harry MacDonough 	It�s Tulip Time in Holland
200	James F. Harrison & James Reed 	My Sweet Adair
201	Prince�s Orchestra 	Back Home in Tennessee
202	Henry Burr 	M-O-T-H-E-R (A Word That Means the World to Me)
203	John Barnes Wells 	Memories
204	Henry Burr 	Goodbye, Good Luck, God Bless You (Is All That I Can Say)
205	Al Jolson 	Yaaka Hula Hickey Dula
206	Henry Burr 	Baby Shoes
207	Billy Murray 	Pretty Baby
208	Billy Murray 	There�s a Little Bit of Bad in Every Good Little Girl
209	Orpheus Quartet 	Mammy�s Little Coal Black Rose
210	Victor Military Band 	Poor Butterfly
211	Van & Schenk 	For Me and My Gal
212	Charles Harrison 	All the World Will Be Jealous of Me
213	American Quartet 	Over There
214	Original Dixieland Jazz Band 	Darktown Strutters� Ball
215	Henry Burr 	Just a Baby�s Prayer at Twilight
216	Henry Burr 	I�m Sorry I Made You Cry
217	Billy Murray 	K-K-K-Katy (Stammering Song)
218	Joseph C. Smith & Harry MacDonough 	Smiles
219	Charles Harrison 	I�m Always Chasing Rainbows
220	Charles Hart & Elliott Shaw 	Rose of No Man�s Land
221	Henry Burr & Albert Campbell 	Till We Meet Again
222	Nora Bayes 	How Ya Gonna Keep �Em Down on the Farm After They�ve Seen Paree
223	Ben Selvin 	I�m Forever Blowing Bubbles
224	John Steel 	A Pretty Girl Is Like a Melody
225	Van & Schenk 	Mandy
226	Henry Burr 	Oh, What a Pal Was Mary
227	Elizabeth Spencer & Charles Hart 	Let the Rest of the World Go By
228	Al Jolson 	I�ve Got My Captain Working for Me Now
229	Ben Selvin 	Dardanella
230	Ted Lewis 	When My Baby Smiles at Me
231	Edith Day 	Alice Blue Gown
232	Al Jolson 	Swanee
233	Henry Burr 	Rose of Washington Square
234	Art Hickman 	Hold Me
235	John Steel 	The Love Nest
236	Marion Harris 	St. Louis Blues
237	Paul Whiteman�s Orchestra 	Whispering
238	Art Hickman 	The Love Nest
239	Paul Whiteman�s Orchestra 	The Japanese Sandman
240	Al Jolson 	Avalon
241	Paul Whiteman�s Orchestra 	Wang Wang Blues
242	Gene Rodemich 	Margie
243	Eddie Cantor 	Margie
244	Al Jolson 	Yoo-Hoo
245	Paul Whiteman�s Orchestra 	Bright Eyes
246	Al Jolson 	O-H-I-O (O-My! O!)
247	Marion Harris 	Look for the Silver Lining
248	Paul Whiteman�s Orchestra 	My Mammy
249	Van & Schenck 	Ain�t We Got Fun?
250	Nora Bayes 	Make Believe
251	Paul Whiteman�s Orchestra 	Cherie
252	Ted Lewis 	All by Myself
253	Billy Jones as Victor Roberts 	Peggy O�Neil
254	Paul Whiteman�s Orchestra 	Song of India
255	Ted Lewis 	Ma, He�s Making Eyes at Me
256	Paul Whiteman�s Orchestra 	Say It with Music
257	Isham Jones 	Wabash Blues
258	Al Jolson 	April Showers
259	Ray Miller 	The Sheik of Araby
260	Fanny Brice 	My Man
261	Ray Miller 	On the Gin-Gin-Ginny Shore
262	Al Jolson 	Angel Child
263	Paul Whiteman�s Orchestra 	Three O�Clock in the Morning
264	Isham Jones 	On the Alamo
265	Paul Whiteman�s Orchestra 	Stumbling
266	Paul Whiteman�s Orchestra 	Do It Again
267	Ernest Hare & Billy Jones 	Mr. Gallagher & Mr. Shean
268	Paul Whiteman�s Orchestra 	Hot Lips
269	Gallagher & Shean 	Mr. Gallagher & Mr. Shean
270	Henry Burr 	My Buddy
271	Van & Schenck 	Carolina in the Morning
272	Paul Whiteman�s Orchestra 	I�ll Build a Stairway to Paradise
273	Al Jolson 	Toot Toot Tootsie (Goo�bye)
274	Nora Bayes 	Lovin� Sam, the Sheik of Alabam�
275	Paul Specht 	When Hearts Are Young
276	Marion Harris 	Aggravatin� Papa
277	Paul Whiteman�s Orchestra 	Parade of the Wooden Soldiers
278	Sophie Tucker 	You�ve Got to See Mama Ev�ry Night or You Can�t See Mama at All
279	Paul Whiteman�s Orchestra 	Bambalina
280	Carl Fenton 	Love Sends a Little Gift of Roses
281	Isham Jones 	Who�s Sorry Now
282	Art Landry 	Dreamy Melody
283	Billy Jones 	Yes! We Have No Bananas
284	Bessie Smith 	Down Hearted Blues
285	Ben Selvin 	Yes! We Have No Bananas
286	Isham Jones 	Swingin� Down the Lane
287	Henry Burr 	Just a Girl That Men Forget
288	Billy Murray & Ed Smalle 	That Old Gang of Mine
289	Paul Whiteman�s Orchestra 	I Love You
290	Eddie Cantor 	No, No, Nora
291	Fred Waring�s Pennsylvanians 	Sleep
292	Arthur Gibbs 	Charleston
293	Paul Whiteman�s Orchestra 	Linger Awhile
294	Wendell Hall 	It Ain�t Gonna Rain No Mo�
295	Ted Weems 	Somebody Stole My Gal
296	Al Jolson 	California, Here I Come!
297	Paul Whiteman�s Orchestra 	What�ll I Do?
298	Isham Jones 	Spain
299	Isham Jones 	It Had to Be You
300	Fred Waring�s Pennsylvanians 	Memory Lane
301	International Novelty Orchestra with Billy Murray 	Charley, My Boy
302	Al Jolson 	I Wonder What�s Become of Sally?
303	Paul Whiteman�s Orchestra 	Somebody Loves Me
304	Al Jolson 	All Alone
305	Paul Whiteman�s Orchestra 	All Alone
306	Marion Harris 	Tea for Two
307	Johm McCormack 	All Alone
308	Isham Jones with Ray Miller�s Orchestra 	I�ll See You in My Dreams
309	Blossom Seeley 	Alabamy Bound
310	Ted Lewis 	O! Katharina
311	Vernon Dalhart 	The Prisoner�s Song
312	Gene Austin 	Yearning Just for You
313	Ben Bernie 	Sweet Georgia Brown
314	Eddie Cantor 	If You Knew Susie
315	Fred Waring 	Collegiate
316	Gene Austin with Billy Carpenter 	Yes Sir! That�s My Baby
317	Ben Selvin 	Oh, How I Miss You Tonight
318	Isham Jones 	Remember
319	Ben Selvin 	Manhattan
320	John McCormack 	Moonlight and Roses Bring Mem�ries of You
321	George Olsen 	Who?
322	Cliff Edwards 	Dinah
323	Ben Bernie 	Sleepy Time Gal
324	Al Jolson 	I�m Sitting on Top of the World
325	George Olsen with Fran Frey, Bob Rice, & Edward Joyce 	Always
326	Vincent Lopez 	Always
327	Gene Austin 	Five Foot Two, Eyes of Blue
328	Gene Austin with Fran Frey 	Horses
329	�Whispering� Jack Smith 	Gimme a Lil� Kiss, Will Ya, Huh?
330	Paul Whiteman�s Orchestra with Franklyn Baur 	Valencia (A Song of Spain)
331	Al Jolson 	I�d Climb the Highest Mountain if I Knew I�d Find You
332	Gene Austin 	Bye Bye, Blackbird
333	Al Jolson 	When the Red, Red Robin Comes Bob-Bob-Bobbin� Along
334	Jan Garber with Benny Davis 	Baby Face
335	Johnny Marvin 	Breezin� Along with the Breeze
336	Johnny Hamp 	Black Bottom
337	Paul Whiteman�s Orchestra 	The Birth of the Blues
338	Henry Burr 	Because I Love You
339	Paul Whiteman�s Orchestra with Jack Fulton 	In a Little Spanish Town
340	Sophie Tucker with Ted Lewis 	Some of These Days
341	Ben Selvin 	Blue Skies
342	Gene Austin 	Tonight You Belong to Me
343	Paul Whiteman�s Orchestra 	It All Depends on You
344	Ben Bernie 	Ain�t She Sweet?
345	Nick Lucas 	I�m Looking Over a Four-Leaf Clover
346	George Olsen 	At Sundown (When Love Is Calling Me Home)
347	Roger Wolfe Kahn 	Russian Lullaby
348	Moran & Mack 	Two Black Crows � Parts 1 & 2 (The Early Bird Catches the Worm)
349	�Whispering� Jack Smith 	Me and My Shadow
350	Gene Austin 	Forgive Me
351	Guy Lombardo 	Charmaine!
352	Ben Selvin 	Miss Annabelle Lee (Who�s Wonderful, Who�s Marvelous)
353	Paul Whiteman�s Orchestra 	My Blue Heaven
354	Red Nichols 	Ida, Sweet As Apple Cider
